name,scope,gate,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,itunes_exact_countries,itunes_unknown_countries,domain_com_available,domain_com_fallback_available,domain_com_fallback_domain,domain_de_available,domain_ch_available,web_result_count,web_exact_hits,web_near_hits,web_sample_domains,web_source,pypi_exists,npm_exists,social_github_available,social_linkedin_available,social_x_available,social_instagram_available,social_unavailable_count,social_unknown_count,adversarial_risk,adversarial_top_hits,psych_spelling_risk,psych_trust_proxy,trademark_dpma_url,trademark_swissreg_url,trademark_tmview_url,external_penalty,hard_fail,fail_reason,recommendation
tenantvia,global,balanced,94,28,80,0,26,kostal,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=tenantvia,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=tenantvia,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=tenantvia,14,True,required_domain_com_not_available,reject
ledgerla,global,balanced,95,29,80,0,28,objego,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=ledgerla,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=ledgerla,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=ledgerla,14,True,required_domain_com_not_available,reject
tenantna,global,balanced,95,29,80,0,28,kostal,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=tenantna,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=tenantna,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=tenantna,14,True,required_domain_com_not_available,reject
tenantta,global,balanced,95,29,80,0,28,kostal,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=tenantta,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=tenantta,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=tenantta,14,True,required_domain_com_not_available,reject
tenantva,global,balanced,95,29,80,0,28,kostal,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=tenantva,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=tenantva,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=tenantva,14,True,required_domain_com_not_available,reject
vantaten,global,balanced,95,29,80,0,28,kostal,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=vantaten,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=vantaten,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=vantaten,14,True,required_domain_com_not_available,reject
ledgerex,global,balanced,95,31,79,0,28,objego,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,8,67,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=ledgerex,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=ledgerex,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=ledgerex,16,True,required_domain_com_not_available,reject
ledgerly,global,balanced,95,31,79,0,28,objego,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,8,67,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=ledgerly,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=ledgerly,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=ledgerly,16,True,required_domain_com_not_available,reject
tenantex,global,balanced,95,31,79,0,28,kostal,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,8,67,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=tenantex,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=tenantex,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=tenantex,16,True,required_domain_com_not_available,reject
vantavia,global,balanced,98,36,79,0,40,scalara,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=vantavia,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=vantavia,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=vantavia,14,True,required_domain_com_not_available,reject
allocalo,global,balanced,98,37,79,0,42,saldeo,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=allocalo,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=allocalo,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=allocalo,14,True,required_domain_com_not_available,reject
allocano,global,balanced,98,37,79,0,42,saldeo,0,-1,False,-1,False,-1,False,,"de,ch,us",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=allocano,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=allocano,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=allocano,14,True,required_domain_com_not_available,reject
