name,scope,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,domain_com_available,domain_de_available,domain_ch_available,hard_fail,fail_reason,recommendation
ledgerta,global,95,22,82,0,40,scalara,0,0,False,0,False,2,False,yes,yes,unknown,False,,strong
ledgervia,global,94,22,81,0,40,saldio,0,-1,False,0,False,8,False,yes,yes,unknown,False,,strong
ledgerlo,global,95,23,82,0,42,objego,0,0,False,0,False,6,False,yes,yes,unknown,False,,strong
ledgerto,global,95,23,82,0,42,objego,0,0,False,0,False,8,False,yes,yes,unknown,False,,strong
vantaled,global,95,23,82,0,42,kostal,0,0,False,0,False,8,False,yes,yes,unknown,False,,strong
vantasal,global,95,23,82,0,42,kostal,0,0,False,0,False,6,False,yes,yes,unknown,False,,strong
domusro,global,93,23,80,0,42,utilaro,0,0,False,0,False,7,False,yes,yes,unknown,False,,strong
solvaaro,global,98,29,82,0,53,scalara,0,0,False,0,False,8,False,yes,yes,unknown,False,,strong
solvavia,global,98,29,82,0,53,scalara,0,0,False,0,False,8,False,yes,yes,unknown,False,,strong
vantaaro,global,98,29,82,0,53,utilaro,0,0,False,0,False,8,False,yes,yes,unknown,False,,strong
ledgerex,global,95,15,86,0,28,objego,0,0,False,0,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerla,global,95,15,86,0,28,objego,0,0,False,0,False,2,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerly,global,95,15,86,0,28,objego,0,7,False,7,False,8,False,no,no,yes,True,required_domain_com_not_available,reject
domusex,global,93,16,84,0,30,objego,0,0,False,0,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
terraex,global,93,16,84,0,30,kostal,0,0,False,0,False,8,False,no,no,no,True,required_domain_com_not_available,reject
vantano,global,93,16,84,0,30,kostal,0,0,False,0,False,2,False,no,no,yes,True,required_domain_com_not_available,reject
rentoex,global,93,21,81,18,30,objego,0,0,False,0,False,8,False,no,yes,unknown,True,required_domain_com_not_available,reject
rentoly,global,93,21,81,18,30,objego,0,0,False,0,False,8,False,no,no,unknown,True,required_domain_com_not_available,reject
rentoon,global,93,21,81,18,30,objego,0,0,False,0,False,8,False,no,yes,unknown,True,required_domain_com_not_available,reject
rentora,global,93,21,81,18,30,objego,0,1,True,1,True,-1,False,no,no,unknown,True,exact_app_store_collision,reject
vantavia,global,98,22,85,0,40,scalara,0,0,False,0,False,7,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerna,global,95,22,82,0,40,scalara,0,0,False,0,False,2,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerra,global,95,22,82,0,40,scalara,0,0,False,0,False,4,False,no,yes,unknown,True,required_domain_com_not_available,reject
ledgerva,global,95,22,82,0,40,scalara,0,0,False,0,False,8,False,no,yes,unknown,True,required_domain_com_not_available,reject
vantaneo,global,98,23,85,0,42,saldeo,0,0,False,0,False,3,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerno,global,95,23,82,0,42,objego,0,0,False,0,False,7,False,no,yes,unknown,True,required_domain_com_not_available,reject
ledgeron,global,95,23,82,0,42,objego,0,0,False,0,False,7,False,no,yes,unknown,True,required_domain_com_not_available,reject
ledgerro,global,95,23,82,0,42,objego,0,0,False,0,False,2,False,no,yes,unknown,True,required_domain_com_not_available,reject
vantakos,global,95,23,82,0,42,kostal,0,0,False,0,False,8,False,no,yes,unknown,True,required_domain_com_not_available,reject
domuson,global,93,23,80,0,42,immonet,0,0,False,0,False,1,False,no,yes,unknown,True,required_domain_com_not_available,reject
ledgera,global,93,23,80,0,42,scalara,0,0,False,0,False,2,False,no,no,unknown,True,required_domain_com_not_available,reject
solvano,global,93,23,80,0,42,scalara,0,0,False,0,False,3,False,no,no,unknown,True,required_domain_com_not_available,reject
terraon,global,93,23,80,0,42,utilaro,0,0,False,0,False,8,False,no,no,unknown,True,required_domain_com_not_available,reject
vantaria,global,98,29,82,0,53,scalara,0,0,False,0,False,2,False,no,yes,unknown,True,required_domain_com_not_available,reject
vantario,global,98,29,82,0,53,utilaro,0,0,False,0,False,7,False,no,no,unknown,True,required_domain_com_not_available,reject
