name,scope,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,domain_com_available,domain_de_available,domain_ch_available,hard_fail,fail_reason,recommendation
assetcle,global,95,15,86,0,28,kostal,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
assetren,global,95,18,85,0,33,immoware24,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
folioass,global,98,23,85,0,42,saldio,0,0,False,0,False,6,False,yes,yes,yes,False,,strong
foliohom,global,98,23,85,0,42,saldio,0,0,False,0,False,3,False,yes,yes,yes,False,,strong
folioren,global,98,23,85,0,42,saldio,0,0,False,0,False,5,False,yes,yes,yes,False,,strong
assetfol,global,95,23,82,0,42,saldeo,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
assethom,global,95,23,82,0,42,saldeo,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
foliocle,global,98,25,84,0,47,immocloud,0,0,False,0,False,1,False,yes,yes,yes,False,,strong
folioled,global,98,25,84,0,47,immocloud,0,0,False,0,False,0,False,yes,yes,yes,False,,strong
solvaaro,global,98,29,82,0,53,scalara,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
solvavia,global,98,29,82,0,53,scalara,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
vantaaro,global,98,29,82,0,53,utilaro,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
ledgerex,global,95,15,86,0,28,objego,0,0,False,0,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerly,global,95,15,86,0,28,objego,0,7,False,7,False,8,False,no,no,yes,True,required_domain_com_not_available,reject
assetex,global,93,16,84,0,30,saldeo,0,1,False,1,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
vantano,global,93,16,84,0,30,kostal,0,0,False,0,False,2,False,no,no,yes,True,required_domain_com_not_available,reject
homeren,global,93,19,82,0,35,immoware24,0,0,False,0,False,6,False,no,yes,yes,True,required_domain_com_not_available,reject
vantavia,global,98,22,85,0,40,scalara,0,0,False,0,False,7,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerra,global,95,22,82,0,40,scalara,0,0,False,0,False,4,False,no,yes,yes,True,required_domain_com_not_available,reject
homecle,global,93,22,80,0,40,immowelt,0,0,False,0,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
homeled,global,93,22,80,0,40,immowelt,0,8,False,4,False,8,False,no,no,no,True,required_domain_com_not_available,reject
vantaneo,global,98,23,85,0,42,saldeo,0,0,False,0,False,3,False,no,yes,yes,True,required_domain_com_not_available,reject
assetled,global,95,23,82,0,42,saldio,0,0,False,0,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgeron,global,95,23,82,0,42,objego,0,0,False,0,False,7,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerro,global,95,23,82,0,42,objego,0,0,False,0,False,2,False,no,yes,yes,True,required_domain_com_not_available,reject
assetly,global,93,23,80,0,42,hausify,0,1,False,1,False,8,False,no,no,yes,True,required_domain_com_not_available,reject
assetra,global,93,23,80,0,42,scalara,0,0,False,0,False,8,True,no,no,yes,True,exact_app_store_collision,reject
homeass,global,93,23,80,0,42,hausify,0,8,False,8,False,8,False,no,no,yes,True,required_domain_com_not_available,reject
vantaria,global,98,29,82,0,53,scalara,0,0,False,0,False,2,False,no,yes,yes,True,required_domain_com_not_available,reject
vantario,global,98,29,82,0,53,utilaro,0,0,False,0,False,7,False,no,no,yes,True,required_domain_com_not_available,reject
