name,scope,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,domain_com_available,domain_de_available,domain_ch_available,hard_fail,fail_reason,recommendation
nivera,global,88,16,79,0,30,immonet,0,1,False,1,False,3,False,no,no,unknown,True,required_domain_com_not_available,reject
rivera,global,88,16,79,0,30,immonet,0,7,True,5,True,5,True,no,no,unknown,True,exact_app_store_collision,reject
domera,global,88,18,78,0,33,objego,0,0,False,0,False,0,False,no,no,unknown,True,required_domain_com_not_available,reject
domira,global,88,18,78,0,33,kostal,0,1,True,1,True,3,True,no,no,unknown,True,exact_app_store_collision,reject
domivo,global,88,18,78,0,33,objego,0,0,False,0,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
lumiva,global,88,18,78,0,33,saldio,0,-1,False,0,False,8,False,no,no,unknown,True,required_domain_com_not_available,reject
merivo,global,88,18,78,0,33,objego,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
novira,global,88,18,78,0,33,kostal,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
renivo,global,88,18,78,0,33,objego,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
renova,global,88,18,78,0,33,objego,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
verivo,global,88,18,78,0,33,objego,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
rivelo,global,88,23,75,0,42,immowelt,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
lumera,global,88,25,74,0,46,scalara,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
meraro,global,88,25,74,0,46,utilaro,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
nivelo,global,88,25,74,0,46,utilaro,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
novaro,global,88,25,74,0,46,utilaro,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
soliva,global,88,25,74,0,46,scalara,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
terivo,global,88,25,74,0,46,utilaro,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
veraro,global,88,25,74,0,46,utilaro,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
cavero,global,88,27,73,0,50,saldeo,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
meralo,global,88,27,73,0,50,saldeo,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
novalo,global,88,27,73,0,50,kostal,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
relivo,global,88,27,73,0,50,saldio,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
renalo,global,88,27,73,0,50,saldeo,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
teralo,global,88,27,73,0,50,kostal,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
veralo,global,88,27,73,0,50,saldeo,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
cavaro,global,88,33,69,0,61,scalara,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
cavira,global,88,33,69,0,61,scalara,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
lumaro,global,88,33,69,0,61,utilaro,0,0,False,0,False,7,False,no,no,unknown,True,required_domain_com_not_available,reject
nivaro,global,88,33,69,0,61,utilaro,0,0,False,0,False,4,False,no,no,unknown,True,required_domain_com_not_available,reject
relaro,global,88,33,69,0,61,utilaro,0,0,False,0,False,8,False,no,yes,unknown,True,required_domain_com_not_available,reject
rivaro,global,88,33,69,0,61,utilaro,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
solaro,global,88,33,69,0,61,scalara,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
solera,global,88,33,69,0,61,scalara,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
teraro,global,88,33,69,0,61,utilaro,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
valaro,global,88,33,69,0,61,scalara,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
valira,global,88,33,69,0,61,scalara,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
valora,global,88,33,69,0,61,scalara,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
valero,global,88,36,68,0,66,saldeo,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
saldaro,global,93,45,68,0,82,saldeo,0,0,False,0,False,4,False,no,yes,unknown,True,required_domain_com_not_available,reject
saldora,global,93,50,65,18,82,saldeo,0,0,False,-1,False,3,False,no,no,unknown,True,required_domain_com_not_available,reject
saldio,global,88,55,57,0,100,saldio,0,0,False,0,False,4,False,no,no,unknown,True,similar_to_saldio,reject
utilaro,global,88,55,57,0,100,utilaro,0,0,False,0,False,8,False,no,yes,unknown,True,similar_to_utilaro,reject
