name,generator_family,lineage_atoms,source_confidence,scope,gate,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,itunes_exact_countries,itunes_unknown_countries,domain_com_available,domain_com_fallback_available,domain_com_fallback_domain,domain_de_available,domain_ch_available,web_result_count,web_exact_hits,web_near_hits,web_sample_domains,web_source,pypi_exists,npm_exists,social_github_available,social_linkedin_available,social_x_available,social_instagram_available,social_unavailable_count,social_unknown_count,adversarial_risk,adversarial_top_hits,psych_spelling_risk,psych_trust_proxy,gibberish_penalty,gibberish_flags,false_friend_risk,false_friend_hits,trademark_dpma_url,trademark_swissreg_url,trademark_tmview_url,external_penalty,hard_fail,fail_reason,recommendation
trueledger,expression,trueledger,0.55,global,balanced,86,21,75,0,25,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=trueledger,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=trueledger,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=trueledger,8,False,,strong
trueledva,expression,trueled;va,0.55,global,balanced,94,22,83,0,26,kostal,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=trueledva,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=trueledva,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=trueledva,8,False,,strong
certorio,source_pool,certo;rio,0.86,global,balanced,98,23,86,0,28,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,76,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=certorio,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=certorio,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=certorio,8,False,,strong
lumenvia,source_pool,lumen;via,0.86,global,balanced,98,23,86,0,28,saldeo,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=lumenvia,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=lumenvia,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=lumenvia,8,False,,strong
terravia,source_pool,terra;via,0.82,global,balanced,98,23,86,0,28,kostal,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=terravia,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=terravia,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=terravia,8,False,,strong
ledgerla,source_pool,ledger;la,0.80,global,balanced,95,23,83,0,28,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=ledgerla,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=ledgerla,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=ledgerla,8,False,,strong
veromen,blend,vero;lumen,0.88,global,balanced,93,24,81,0,30,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=veromen,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=veromen,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=veromen,8,False,,strong
verorto,blend,vero;certo,0.88,global,balanced,93,24,81,0,30,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=verorto,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=verorto,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=verorto,8,False,,strong
verobil,blend,vero;stabil,0.87,global,balanced,93,24,81,0,30,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=verobil,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=verobil,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=verobil,8,False,,strong
certono,source_pool,certo;no,0.86,global,balanced,93,24,81,0,30,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,76,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=certono,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=certono,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=certono,8,False,,strong
lumenna,source_pool,lumen;na,0.86,global,balanced,93,24,81,0,30,saldeo,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=lumenna,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=lumenna,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=lumenna,8,False,,strong
lumenva,source_pool,lumen;va,0.86,global,balanced,93,24,81,0,30,saldeo,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=lumenva,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=lumenva,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=lumenva,8,False,,strong
verorra,blend,vero;terra,0.86,global,balanced,93,24,81,0,30,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=verorra,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=verorra,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=verorra,8,False,,strong
fidemen,blend,fidel;lumen,0.84,global,balanced,93,24,81,0,30,saldeo,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=fidemen,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=fidemen,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=fidemen,8,False,,strong
fiderum,blend,fidel;verum,0.82,global,balanced,93,24,81,0,30,saldeo,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=fiderum,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=fiderum,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=fiderum,8,False,,strong
terrana,source_pool,terra;na,0.82,global,balanced,93,24,81,0,30,kostal,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=terrana,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=terrana,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=terrana,8,False,,strong
verorio,source_pool,vero;rio,0.90,global,balanced,88,24,76,0,30,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=verorio,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=verorio,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=verorio,8,False,,strong
