name,scope,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,domain_com_available,domain_de_available,domain_ch_available,hard_fail,fail_reason,recommendation
propaivo,eu,98,15,89,0,28,objego,0,0,False,0,False,7,False,yes,yes,yes,False,,strong
propava,eu,93,16,84,0,30,kostal,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
propaxa,eu,93,16,84,0,30,kostal,0,-1,False,-1,False,-1,False,yes,yes,yes,False,,strong
propaza,eu,93,16,84,0,30,kostal,0,-1,False,-1,False,-1,False,yes,yes,yes,False,,strong
propaaro,eu,98,22,85,0,40,scalara,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
solvaivo,eu,98,22,85,0,40,scalara,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
vantauti,eu,98,22,85,0,40,hausify,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
propaneo,eu,98,23,85,0,42,objego,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
vantaivo,eu,98,23,85,0,42,saldio,0,-1,False,0,False,-1,False,yes,yes,yes,False,,strong
propavia,eu,98,15,89,0,28,kostal,0,0,False,0,False,1,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerex,eu,95,15,86,0,28,objego,0,0,False,0,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerly,eu,95,15,86,0,28,objego,0,7,False,7,False,8,False,no,no,yes,True,required_domain_de_not_available,reject
ledgerum,eu,95,15,86,0,28,objego,0,0,False,0,False,0,False,no,yes,yes,True,required_domain_com_not_available,reject
propano,eu,93,16,84,0,30,objego,0,4,False,-1,False,-1,False,no,no,yes,True,required_domain_de_not_available,reject
propaxo,eu,93,16,84,0,30,objego,0,-1,False,0,False,-1,False,no,yes,yes,True,required_domain_com_not_available,reject
vantano,eu,93,16,84,0,30,kostal,0,0,False,-1,False,-1,False,no,no,yes,True,required_domain_de_not_available,reject
vantaxo,eu,93,16,84,0,30,kostal,0,-1,False,-1,False,-1,False,no,yes,yes,True,required_domain_com_not_available,reject
homeren,eu,93,19,82,0,35,immoware24,0,-1,False,0,False,6,False,no,yes,yes,True,required_domain_com_not_available,reject
rentavia,eu,98,20,87,18,28,kostal,0,0,False,0,False,8,False,no,no,yes,True,required_domain_de_not_available,reject
proparia,eu,98,22,85,0,40,scalara,0,0,False,0,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
vantavia,eu,98,22,85,0,40,scalara,0,0,False,0,False,7,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerra,eu,95,22,82,0,40,scalara,0,-1,False,-1,False,4,False,no,yes,yes,True,required_domain_com_not_available,reject
propario,eu,98,23,85,0,42,saldio,0,0,False,0,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
vantaneo,eu,98,23,85,0,42,saldeo,0,-1,False,0,False,3,False,no,yes,yes,True,required_domain_com_not_available,reject
rentaria,eu,98,27,83,18,40,scalara,0,-1,False,-1,False,-1,False,no,yes,yes,True,required_domain_com_not_available,reject
