name,scope,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,domain_com_available,domain_de_available,domain_ch_available,hard_fail,fail_reason,recommendation
propaivo,global,98,15,89,0,28,objego,0,0,False,0,False,7,False,yes,yes,yes,False,,strong
propava,global,93,16,84,0,30,kostal,0,0,False,0,False,8,False,yes,yes,unknown,False,,strong
propaxa,global,93,16,84,0,30,kostal,0,0,False,0,False,0,False,yes,yes,unknown,False,,strong
propaza,global,93,16,84,0,30,kostal,0,0,False,0,False,8,False,yes,yes,unknown,False,,strong
propaaro,global,98,22,85,0,40,scalara,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
solvaivo,global,98,22,85,0,40,scalara,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
vantauti,global,98,22,85,0,40,hausify,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
propaneo,global,98,23,85,0,42,objego,0,0,False,0,False,8,False,yes,yes,yes,False,,strong
vantaivo,global,98,23,85,0,42,saldio,0,-1,False,0,False,-1,False,yes,yes,yes,False,,strong
vantaled,global,95,23,82,0,42,kostal,0,0,False,0,False,8,False,yes,yes,unknown,False,,strong
vantasal,global,95,23,82,0,42,kostal,0,0,False,0,False,-1,False,yes,yes,unknown,False,,strong
rentaivo,global,98,28,82,18,42,saldio,0,-1,False,0,False,8,False,yes,yes,unknown,False,,strong
rentaneo,global,98,28,82,18,42,saldeo,0,0,False,0,False,8,False,yes,yes,unknown,False,,strong
clearuti,global,98,29,82,0,53,scalara,0,0,False,0,False,0,False,yes,yes,unknown,False,,strong
solvaaro,global,98,29,82,0,53,scalara,0,0,False,-1,False,8,False,yes,yes,unknown,False,,strong
solvavia,global,98,29,82,0,53,scalara,0,0,False,0,False,-1,False,yes,yes,unknown,False,,strong
vantaaro,global,98,29,82,0,53,utilaro,0,-1,False,-1,False,8,False,yes,yes,unknown,False,,strong
propavia,global,98,15,89,0,28,kostal,0,0,False,0,False,1,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerex,global,95,15,86,0,28,objego,0,0,False,0,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerly,global,95,15,86,0,28,objego,0,7,False,7,False,8,False,no,no,yes,True,required_domain_com_not_available,reject
ledgerum,global,95,15,86,0,28,objego,0,0,False,0,False,0,False,no,yes,yes,True,required_domain_com_not_available,reject
propano,global,93,16,84,0,30,objego,0,4,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
propaxo,global,93,16,84,0,30,objego,0,0,False,0,False,8,False,no,yes,unknown,True,required_domain_com_not_available,reject
vantano,global,93,16,84,0,30,kostal,0,0,False,0,False,2,False,no,no,unknown,True,required_domain_com_not_available,reject
vantaxo,global,93,16,84,0,30,kostal,0,0,False,0,False,8,False,no,yes,unknown,True,required_domain_com_not_available,reject
homeren,global,93,19,82,0,35,immoware24,0,0,False,0,False,6,False,no,yes,unknown,True,required_domain_com_not_available,reject
rentavia,global,98,20,87,18,28,kostal,0,0,False,0,False,8,False,no,no,yes,True,required_domain_com_not_available,reject
rentano,global,93,21,81,18,30,objego,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
proparia,global,98,22,85,0,40,scalara,0,0,False,0,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
vantavia,global,98,22,85,0,40,scalara,0,0,False,0,False,7,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerra,global,95,22,82,0,40,scalara,0,0,False,0,False,4,False,no,yes,unknown,True,required_domain_com_not_available,reject
propario,global,98,23,85,0,42,saldio,0,0,False,0,False,8,False,no,yes,yes,True,required_domain_com_not_available,reject
vantaneo,global,98,23,85,0,42,saldeo,0,0,False,0,False,3,False,no,yes,yes,True,required_domain_com_not_available,reject
ledgerix,global,95,23,82,0,42,saldio,0,1,False,1,False,5,False,no,yes,unknown,True,required_domain_com_not_available,reject
ledgeron,global,95,23,82,0,42,objego,0,0,False,0,False,7,False,no,yes,unknown,True,required_domain_com_not_available,reject
ledgerro,global,95,23,82,0,42,objego,0,0,False,0,False,2,False,no,yes,unknown,True,required_domain_com_not_available,reject
vantakos,global,95,23,82,0,42,kostal,0,0,False,0,False,8,False,no,yes,unknown,True,required_domain_com_not_available,reject
rentaria,global,98,27,83,18,40,scalara,0,0,False,0,False,8,False,no,yes,unknown,True,required_domain_com_not_available,reject
vantaria,global,98,29,82,0,53,scalara,0,-1,False,0,False,2,False,no,yes,unknown,True,required_domain_com_not_available,reject
vantario,global,98,29,82,0,53,utilaro,0,-1,False,-1,False,7,False,no,no,unknown,True,required_domain_com_not_available,reject
