name,scope,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,domain_com_available,domain_de_available,domain_ch_available,hard_fail,fail_reason,recommendation
numeris,global,93,15,84,0,28,immonet,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
domicil,global,93,16,84,0,30,kostal,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
exactis,global,93,16,84,0,30,saldio,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
fluenta,global,93,16,84,0,30,kostal,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
funduso,global,93,16,84,0,30,saldeo,0,-1,False,-1,False,-1,False,no,yes,yes,True,required_domain_com_not_available,reject
preciso,global,93,16,84,0,30,objego,0,-1,False,-1,False,-1,False,no,no,yes,True,required_domain_com_not_available,reject
nexiora,global,88,16,79,0,30,objego,0,-1,False,-1,False,-1,False,no,yes,yes,True,required_domain_com_not_available,reject
finiora,global,88,19,77,0,35,immoware24,0,-1,False,-1,False,-1,False,no,yes,yes,True,required_domain_com_not_available,reject
elementa,global,98,20,87,0,37,immowelt,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
dominium,global,98,22,85,0,40,wohnify,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
effectio,global,98,22,85,0,40,utilaro,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
metricon,global,95,22,82,0,40,immonet,0,-1,False,-1,False,-1,False,no,no,yes,True,required_domain_com_not_available,reject
aequitas,global,89,22,76,0,40,hausify,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
accurata,global,98,23,85,0,42,costal,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
factorio,global,98,23,85,0,42,saldio,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
integral,global,95,23,82,0,42,kostal,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
arithma,global,93,23,80,0,42,scalara,0,-1,False,-1,False,-1,False,no,no,yes,True,required_domain_com_not_available,reject
bilance,global,93,23,80,0,42,immonet,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
certion,global,93,23,80,0,42,immonet,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
factura,global,93,23,80,0,42,scalara,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
quantis,global,93,23,80,0,42,utilaro,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
equitos,global,88,23,75,0,42,utilaro,0,-1,False,-1,False,-1,False,no,yes,yes,True,required_domain_com_not_available,reject
invenio,global,88,23,75,0,42,immonet,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
civitas,global,93,25,79,0,46,costal,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
credion,global,93,25,79,0,46,saldio,0,-1,False,-1,False,-1,False,no,no,yes,True,required_domain_com_not_available,reject
datalis,global,93,25,79,0,46,kostal,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
decimal,global,93,25,79,0,46,costal,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
habital,global,93,25,79,0,46,kostal,0,-1,False,-1,False,-1,False,no,no,yes,True,required_domain_com_not_available,reject
localis,global,93,25,79,0,46,kostal,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
novalis,global,93,25,79,0,46,kostal,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
paritos,global,93,25,79,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,yes,True,required_domain_com_not_available,reject
prorata,global,93,25,79,0,46,kostal,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
arealis,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
basisio,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
conexio,global,88,25,74,0,46,objego,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
domusio,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
equalis,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
fairion,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
fiducio,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
ordinio,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
assetio,global,82,25,68,0,46,saldeo,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
allocata,global,98,29,82,0,53,scalara,0,-1,False,-1,False,-1,False,no,yes,yes,True,required_domain_com_not_available,reject
computio,global,98,29,82,0,53,utilaro,0,-1,False,-1,False,-1,False,no,no,yes,True,required_domain_com_not_available,reject
optimara,global,98,29,82,0,53,utilaro,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
formular,global,95,29,79,0,53,utilaro,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
centralis,global,87,29,71,0,53,costal,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
corento,global,93,30,76,18,46,objego,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
balanca,global,93,31,75,0,57,scalara,0,-1,False,-1,False,-1,False,no,no,yes,True,required_domain_com_not_available,reject
justion,global,93,31,75,0,57,utilaro,0,-1,False,-1,False,-1,False,no,yes,yes,True,required_domain_com_not_available,reject
levario,global,88,31,70,0,57,utilaro,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
linearo,global,88,31,70,0,57,utilaro,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
actural,global,93,33,74,0,61,costal,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
contara,global,93,33,74,0,61,costal,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
fiscali,global,93,33,74,0,61,saldio,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
estatio,global,88,33,69,0,61,saldio,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
comptar,global,83,33,64,0,61,costal,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
claritas,global,95,36,75,0,66,scalara,0,-1,False,-1,False,-1,False,no,no,no,True,required_domain_com_not_available,reject
calcora,global,93,39,71,0,71,scalara,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
monetal,global,93,39,71,0,71,immonet,0,-1,False,-1,False,-1,False,no,yes,unknown,True,required_domain_com_not_available,reject
caliora,global,88,39,66,0,71,scalara,0,-1,False,-1,False,-1,False,no,no,unknown,True,required_domain_com_not_available,reject
