name,scope,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,domain_com_available,domain_com_fallback_available,domain_com_fallback_domain,domain_de_available,domain_ch_available,hard_fail,fail_reason,recommendation
numeris,global,93,15,84,0,28,immonet,0,-1,False,-1,False,-1,False,no,yes,usenumeris.com,no,unknown,False,,strong
domicil,global,93,16,84,0,30,kostal,0,-1,False,-1,False,-1,False,no,yes,getdomicil.com,no,unknown,False,,strong
exactis,global,93,16,84,0,30,saldio,0,-1,False,-1,False,-1,False,no,yes,getexactis.com,no,unknown,False,,strong
fluenta,global,93,16,84,0,30,kostal,0,-1,False,-1,False,-1,False,no,yes,fluentahq.com,no,unknown,False,,strong
funduso,global,93,16,84,0,30,saldeo,0,-1,False,-1,False,-1,False,no,yes,getfunduso.com,yes,unknown,False,,strong
preciso,global,93,16,84,0,30,objego,0,-1,False,-1,False,-1,False,no,yes,getpreciso.com,no,unknown,False,,strong
nexiora,global,88,16,79,0,30,objego,0,-1,False,-1,False,-1,False,no,yes,usenexiora.com,yes,unknown,False,,strong
elementa,global,98,20,87,0,37,immowelt,0,-1,False,-1,False,-1,False,no,yes,useelementa.com,no,unknown,False,,strong
dominium,global,98,22,85,0,40,wohnify,0,-1,False,-1,False,-1,False,no,yes,getdominium.com,no,unknown,False,,strong
effectio,global,98,22,85,0,40,utilaro,0,-1,False,-1,False,-1,False,no,yes,geteffectio.com,no,unknown,False,,strong
metricon,global,95,22,82,0,40,immonet,0,-1,False,-1,False,-1,False,no,yes,getmetricon.com,no,unknown,False,,strong
accurata,global,98,23,85,0,42,costal,0,-1,False,-1,False,-1,False,no,yes,getaccurata.com,no,unknown,False,,strong
factorio,global,98,23,85,0,42,saldio,0,-1,False,-1,False,-1,False,no,yes,getfactorio.com,no,unknown,False,,strong
factura,global,93,23,80,0,42,scalara,0,-1,False,-1,False,-1,False,no,yes,usefactura.com,no,unknown,False,,strong
quantis,global,93,23,80,0,42,utilaro,0,-1,False,-1,False,-1,False,no,yes,usequantis.com,no,unknown,False,,strong
invenio,global,88,23,75,0,42,immonet,0,-1,False,-1,False,-1,False,no,yes,useinvenio.com,no,unknown,False,,strong
civitas,global,93,25,79,0,46,costal,0,-1,False,-1,False,-1,False,no,yes,usecivitas.com,no,unknown,False,,strong
credion,global,93,25,79,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,usecredion.com,no,unknown,False,,strong
datalis,global,93,25,79,0,46,kostal,0,-1,False,-1,False,-1,False,no,yes,getdatalis.com,no,unknown,False,,strong
habital,global,93,25,79,0,46,kostal,0,-1,False,-1,False,-1,False,no,yes,gethabital.com,no,unknown,False,,strong
localis,global,93,25,79,0,46,kostal,0,-1,False,-1,False,-1,False,no,yes,getlocalis.com,no,unknown,False,,strong
